example,regime,stabilization,nx,time_idx,l2_error,order
example2,advection,none,32,0,0.005396583828336038,
example2,advection,none,32,71,0.12778186438209493,
example2,advection,none,32,142,0.09510855628426476,
example2,advection,none,32,214,0.09524434766041284,
example2,advection,none,32,285,0.09258053981176381,
example2,advection,none,32,357,0.08997669281894353,
example2,advection,none,32,428,0.0799237976598455,
example2,advection,none,32,500,0.11616074428553916,
example2,advection,none,64,428,0.019959260831683746,2.001566842759259
example2,advection,none,64,357,0.022517515716449166,1.9985036718365095
example2,advection,none,64,285,0.023327421462037194,1.9886821293373982
example2,advection,none,64,500,0.036806852004336296,1.6580763322614194
example2,advection,none,64,142,0.02399673738071923,1.986736867627691
example2,advection,none,64,71,0.032259701957253716,1.9858780795080817
example2,advection,none,64,0,0.0013596629891850518,1.9887973300461477
example2,advection,none,64,214,0.023994094113191533,1.988954131697943
example2,advection,none,128,500,0.025068535926022557,0.5540966238629494
example2,advection,none,128,428,0.006084797388104158,1.713777163191644
example2,advection,none,128,285,0.005925650753276607,1.9769813410944288
example2,advection,none,128,357,0.005654528269201388,1.9935690913318438
example2,advection,none,128,142,0.006094713021022064,1.9772080729417902
example2,advection,none,128,71,0.008189195634702958,1.9779394512364097
example2,advection,none,128,0,0.0003399637094700381,1.9997964498274459
example2,advection,none,128,214,0.006092343045169946,1.977610261835662
example2,advection,none,256,428,0.0035237327112864203,0.7881047303784805
example2,advection,none,256,0,8.249449323282298e-05,2.0430110261673904
example2,advection,none,256,71,0.002086511465935838,1.972628904737788
example2,advection,none,256,142,0.0015539439484223909,1.9716238250067577
example2,advection,none,256,214,0.0015539406895194695,1.971065738480545
example2,advection,none,256,285,0.0015130483642061586,1.969515495397629
example2,advection,none,256,357,0.0014940353170077403,1.9201924200257428
example2,advection,none,256,500,0.019788228173929216,0.34123530100766153
