qoi,sampler,tol,n_star_median,n_star_q25,n_star_q75,n_reached,n_censored,tolerance
q,EIGF,0.2,30.0,30.0,37.5,10,0,0.2
q,Halton,0.2,30.0,30.0,60.0,10,0,0.2
q,LHS,0.2,60.0,40.0,60.0,10,0,0.2
q,MEPE,0.2,30.0,30.0,30.0,10,0,0.2
q,P-greedy,0.2,40.0,25.0,40.0,10,0,0.2
q,Random,0.2,60.0,40.0,80.0,9,1,0.2
q,f-greedy,0.2,20.0,20.0,27.5,10,0,0.2
q,β-greedy(β=0.5),0.2,35.0,22.5,40.0,10,0,0.2
q,EIGF,0.1,60.0,60.0,60.0,10,0,0.1
q,Halton,0.1,60.0,60.0,70.0,7,3,0.1
q,LHS,0.1,90.0,60.0,100.0,10,0,0.1
q,MEPE,0.1,60.0,60.0,60.0,10,0,0.1
q,P-greedy,0.1,70.0,60.0,80.0,10,0,0.1
q,Random,0.1,90.0,80.0,115.0,6,4,0.1
q,f-greedy,0.1,80.0,40.0,80.0,10,0,0.1
q,β-greedy(β=0.5),0.1,60.0,60.0,60.0,10,0,0.1
q,EIGF,0.05,,,,0,10,0.05
q,Halton,0.05,,,,0,10,0.05
q,LHS,0.05,120.0,110.0,120.0,3,7,0.05
q,MEPE,0.05,120.0,120.0,120.0,1,9,0.05
q,P-greedy,0.05,,,,0,10,0.05
q,Random,0.05,,,,0,10,0.05
q,f-greedy,0.05,,,,0,10,0.05
q,β-greedy(β=0.5),0.05,120.0,120.0,120.0,1,9,0.05
