qoi,sampler,tol,n_star_median,n_star_q25,n_star_q75,n_reached,n_censored
J,EIGF,0.2,50.0,50.0,50.0,1,0
J,Halton,0.2,60.0,60.0,60.0,1,0
J,LHS,0.2,20.0,20.0,20.0,1,0
J,MEPE,0.2,20.0,20.0,20.0,1,0
J,P-greedy,0.2,10.0,10.0,10.0,1,0
J,Random,0.2,50.0,50.0,50.0,1,0
J,f-greedy,0.2,20.0,20.0,20.0,1,0
J,β-greedy(β=0.5),0.2,20.0,20.0,20.0,1,0
J2,EIGF,0.2,30.0,30.0,30.0,1,0
J2,Halton,0.2,20.0,20.0,20.0,1,0
J2,LHS,0.2,20.0,20.0,20.0,1,0
J2,MEPE,0.2,20.0,20.0,20.0,1,0
J2,P-greedy,0.2,20.0,20.0,20.0,1,0
J2,Random,0.2,30.0,30.0,30.0,1,0
J2,f-greedy,0.2,80.0,80.0,80.0,1,0
J2,β-greedy(β=0.5),0.2,20.0,20.0,20.0,1,0
